Grid_Size,Num_Threads,Time_Spent
64,1,simulation took 0.0703672 seconds
128,1,simulation took 0.325427 seconds
256,1,simulation took 1.67007 seconds
512,1,simulation took 11.5891 seconds
1024,1,simulation took 139.481 seconds
64,2,simulation took 0.0758396 seconds
128,2,simulation took 0.243498 seconds
256,2,simulation took 1.31018 seconds
512,2,simulation took 6.24933 seconds
1024,2,simulation took 57.6623 seconds
64,3,simulation took 0.0616167 seconds
128,3,simulation took 0.206219 seconds
256,3,simulation took 0.968698 seconds
512,3,simulation took 4.67627 seconds
1024,3,simulation took 41.79 seconds
64,4,simulation took 0.058729 seconds
128,4,simulation took 0.203359 seconds
256,4,simulation took 0.7743 seconds
512,4,simulation took 3.67626 seconds
1024,4,simulation took 25.3276 seconds
64,5,simulation took 0.0547302 seconds
128,5,simulation took 0.16492 seconds
256,5,simulation took 0.583933 seconds
512,5,simulation took 3.16738 seconds
1024,5,simulation took 24.7835 seconds
64,6,simulation took 0.0544443 seconds
128,6,simulation took 0.167705 seconds
256,6,simulation took 0.679648 seconds
512,6,simulation took 3.02054 seconds
1024,6,simulation took 23.2845 seconds
64,7,simulation took 0.056271 seconds
128,7,simulation took 0.170349 seconds
256,7,simulation took 0.508979 seconds
512,7,simulation took 2.73752 seconds
1024,7,simulation took 18.7901 seconds
64,8,simulation took 0.0606488 seconds
128,8,simulation took 0.162594 seconds
256,8,simulation took 0.600797 seconds
512,8,simulation took 2.48314 seconds
1024,8,simulation took 16.4897 seconds
64,9,simulation took 0.0667216 seconds
128,9,simulation took 0.17745 seconds
256,9,simulation took 0.440789 seconds
512,9,simulation took 2.43035 seconds
1024,9,simulation took 13.1566 seconds
64,10,simulation took 0.0646871 seconds
128,10,simulation took 0.164924 seconds
256,10,simulation took 0.457219 seconds
512,10,simulation took 2.03594 seconds
1024,10,simulation took 15.9434 seconds
64,11,simulation took 0.0672477 seconds
128,11,simulation took 0.178666 seconds
256,11,simulation took 0.492356 seconds
512,11,simulation took 2.09435 seconds
1024,11,simulation took 11.3177 seconds
64,12,simulation took 0.0737662 seconds
128,12,simulation took 0.183618 seconds
256,12,simulation took 0.457596 seconds
512,12,simulation took 1.95136 seconds
1024,12,simulation took 15.519 seconds
64,13,simulation took 0.0715338 seconds
128,13,simulation took 0.174756 seconds
256,13,simulation took 0.399396 seconds
512,13,simulation took 1.88075 seconds
1024,13,simulation took 11.0839 seconds
64,14,simulation took 0.0743634 seconds
128,14,simulation took 0.166374 seconds
256,14,simulation took 0.476877 seconds
512,14,simulation took 2.09766 seconds
1024,14,simulation took 9.53422 seconds
64,15,simulation took 0.0715037 seconds
128,15,simulation took 0.178677 seconds
256,15,simulation took 0.566287 seconds
512,15,simulation took 1.61799 seconds
1024,15,simulation took 11.573 seconds
64,16,simulation took 0.0849961 seconds
128,16,simulation took 0.188252 seconds
256,16,simulation took 0.579949 seconds
512,16,simulation took 1.91947 seconds
1024,16,simulation took 9.87171 seconds
64,17,simulation took 0.0854812 seconds
128,17,simulation took 0.1956 seconds
256,17,simulation took 0.451028 seconds
512,17,simulation took 1.55626 seconds
1024,17,simulation took 13.1854 seconds
64,18,simulation took 0.0921596 seconds
128,18,simulation took 0.211093 seconds
256,18,simulation took 0.502635 seconds
512,18,simulation took 1.92037 seconds
1024,18,simulation took 8.4161 seconds
64,19,simulation took 0.0833438 seconds
128,19,simulation took 0.191893 seconds
256,19,simulation took 0.457487 seconds
512,19,simulation took 1.72575 seconds
1024,19,simulation took 8.08969 seconds
64,20,simulation took 0.0915914 seconds
128,20,simulation took 0.205591 seconds
256,20,simulation took 0.620101 seconds
512,20,simulation took 1.62698 seconds
1024,20,simulation took 8.97111 seconds
64,21,simulation took 0.0945894 seconds
128,21,simulation took 0.179548 seconds
256,21,simulation took 0.515239 seconds
512,21,simulation took 1.66114 seconds
1024,21,simulation took 6.89733 seconds
64,22,simulation took 0.0954507 seconds
128,22,simulation took 0.230404 seconds
256,22,simulation took 0.904593 seconds
512,22,simulation took 1.53784 seconds
1024,22,simulation took 7.11004 seconds
64,23,simulation took 0.103096 seconds
128,23,simulation took 0.220432 seconds
256,23,simulation took 0.470617 seconds
512,23,simulation took 1.49075 seconds
1024,23,simulation took 7.8924 seconds
64,24,simulation took 0.118194 seconds
128,24,simulation took 0.216689 seconds
256,24,simulation took 0.501099 seconds
512,24,simulation took 1.32469 seconds
1024,24,simulation took 7.18568 seconds
